107.77.94.55 - - [07/Oct/2020:15:14:04 +0000] "GET /projects HTTP/1.1" 301 584 "-" "Mozilla/5.0 (Android 7.0; Mobile; rv:81.0) Gecko/81.0 Firefox/81.0"
107.77.94.55 - - [07/Oct/2020:15:14:04 +0000] "GET /projects/ HTTP/1.1" 200 797 "-" "Mozilla/5.0 (Android 7.0; Mobile; rv:81.0) Gecko/81.0 Firefox/81.0"
107.77.94.55 - - [07/Oct/2020:15:14:04 +0000] "GET /icons/back.gif HTTP/1.1" 200 499 "http://54.82.151.193/projects/" "Mozilla/5.0 (Android 7.0; Mobile; rv:81.0) Gecko/81.0 Firefox/81.0"
107.77.94.55 - - [07/Oct/2020:15:14:04 +0000] "GET /icons/blank.gif HTTP/1.1" 200 432 "http://54.82.151.193/projects/" "Mozilla/5.0 (Android 7.0; Mobile; rv:81.0) Gecko/81.0 Firefox/81.0"
107.77.94.55 - - [07/Oct/2020:15:14:05 +0000] "GET /icons/folder.gif HTTP/1.1" 200 509 "http://54.82.151.193/projects/" "Mozilla/5.0 (Android 7.0; Mobile; rv:81.0) Gecko/81.0 Firefox/81.0"
107.77.94.55 - - [07/Oct/2020:15:14:05 +0000] "GET /icons/text.gif HTTP/1.1" 200 513 "http://54.82.151.193/projects/" "Mozilla/5.0 (Android 7.0; Mobile; rv:81.0) Gecko/81.0 Firefox/81.0"
107.77.94.55 - - [07/Oct/2020:15:14:09 +0000] "GET /projects/projects.html HTTP/1.1" 200 1644 "http://54.82.151.193/projects/" "Mozilla/5.0 (Android 7.0; Mobile; rv:81.0) Gecko/81.0 Firefox/81.0"
107.77.94.55 - - [07/Oct/2020:16:36:52 +0000] "GET / HTTP/1.1" 200 1362 "-" "Mozilla/5.0 (Android 7.0; Mobile; rv:81.0) Gecko/81.0 Firefox/81.0"
107.77.94.55 - - [07/Oct/2020:16:37:59 +0000] "GET / HTTP/1.1" 200 1362 "-" "Mozilla/5.0 (Android 7.0; Mobile; rv:81.0) Gecko/81.0 Firefox/81.0"
176.113.115.214 - - [07/Oct/2020:16:38:12 +0000] "GET /solr/admin/info/system?wt=json HTTP/1.1" 404 455 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
176.113.115.214 - - [07/Oct/2020:16:38:56 +0000] "GET /?XDEBUG_SESSION_START=phpstorm HTTP/1.1" 200 1325 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
107.77.94.55 - - [07/Oct/2020:16:39:44 +0000] "GET / HTTP/1.1" 200 1360 "-" "Mozilla/5.0 (Android 7.0; Mobile; rv:81.0) Gecko/81.0 Firefox/81.0"
107.77.94.55 - - [07/Oct/2020:16:39:48 +0000] "GET /projects/projects.html HTTP/1.1" 200 1645 "http://54.82.151.193/" "Mozilla/5.0 (Android 7.0; Mobile; rv:81.0) Gecko/81.0 Firefox/81.0"
176.113.115.214 - - [07/Oct/2020:16:40:10 +0000] "GET /?a=fetch&content=<php>die(@md5(HelloThinkCMF))</php> HTTP/1.1" 200 1323 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
176.113.115.214 - - [07/Oct/2020:16:40:34 +0000] "GET /index.php?s=/Index/\\think\\app/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP HTTP/1.1" 404 455 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
107.77.94.55 - - [07/Oct/2020:16:46:13 +0000] "GET /projects/projects.html HTTP/1.1" 200 1644 "http://54.82.151.193/" "Mozilla/5.0 (Android 7.0; Mobile; rv:81.0) Gecko/81.0 Firefox/81.0"
107.77.94.55 - - [07/Oct/2020:16:46:20 +0000] "GET /projects/tribute/tribute.html HTTP/1.1" 200 2199 "http://blaqoutdesigns.com/projects/projects.html" "Mozilla/5.0 (Android 7.0; Mobile; rv:81.0) Gecko/81.0 Firefox/81.0"
107.77.94.55 - - [07/Oct/2020:16:48:00 +0000] "GET /projects/specs/specs.html HTTP/1.1" 200 1801 "http://blaqoutdesigns.com/projects/projects.html" "Mozilla/5.0 (Android 7.0; Mobile; rv:81.0) Gecko/81.0 Firefox/81.0"
68.67.247.40 - - [07/Oct/2020:16:51:59 +0000] "GET /projects/projects.html HTTP/1.1" 200 1644 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 14_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1"
68.67.247.40 - - [07/Oct/2020:16:51:59 +0000] "GET /favicon.ico HTTP/1.1" 404 497 "http://blaqoutdesigns.com/projects/projects.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 14_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1"
68.67.247.40 - - [07/Oct/2020:16:52:06 +0000] "GET /projects/tribute/tribute.html HTTP/1.1" 200 2199 "http://blaqoutdesigns.com/projects/projects.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 14_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1"
